Produto B,Descrição do Produto B,140,63.72
Produto C,Descrição do Produto C,125,50.17
Produto D,Descrição do Produto D,109,35.25
Produto E,Descrição do Produto E,104,28.38
Produto F,Descrição do Produto F,85,13.52
Produto G,Descrição do Produto G,117,49.75
Produto H,Descrição do Produto H,70,80.04
Produto I,Descrição do Produto I,49,44.52
Produto J,Descrição do Produto J,170,37.32
Produto K,Descrição do Produto K,176,38.55
Produto L,Descrição do Produto L,47,85.13
Produto M,Descrição do Produto M,39,96.05
Produto N,Descrição do Produto N,113,57.74
Produto O,Descrição do Produto O,148,15.57
Produto P,Descrição do Produto P,24,27.28
Produto Q,Descrição do Produto Q,11,66.78
Produto R,Descrição do Produto R,52,30.98
Produto S,Descrição do Produto S,134,86.04
Produto T,Descrição do Produto T,93,75.78
Produto U,Descrição do Produto U,120,44.2
Produto V,Descrição do Produto V,46,84.98
Produto W,Descrição do Produto W,191,37.69
Produto X,Descrição do Produto X,86,94.69
Produto Y,Descrição do Produto Y,169,48.03
Produto Z,Descrição do Produto Z,146,43.78
Produto A,Descrição do Produto A,122,94.85
Produto B,Descrição do Produto B,154,39.08
Produto C,Descrição do Produto C,62,35.12
Produto D,Descrição do Produto D,97,90.53
Produto E,Descrição do Produto E,67,7.55
Produto F,Descrição do Produto F,27,9.56
Produto G,Descrição do Produto G,198,74.21
Produto H,Descrição do Produto H,104,19.25
Produto I,Descrição do Produto I,126,28.16
Produto J,Descrição do Produto J,31,11.06
Produto K,Descrição do Produto K,131,48.33
Produto L,Descrição do Produto L,56,30.31
Produto M,Descrição do Produto M,71,79.74
Produto N,Descrição do Produto N,174,71.8
Produto O,Descrição do Produto O,146,78.49
Produto P,Descrição do Produto P,49,82.85
Produto Q,Descrição do Produto Q,162,49.01
Produto R,Descrição do Produto R,172,18.38
Produto S,Descrição do Produto S,140,33.08
Produto T,Descrição do Produto T,135,83.87
Produto U,Descrição do Produto U,151,55.99
Produto V,Descrição do Produto V,22,96.13
Produto W,Descrição do Produto W,11,10.15
Produto X,Descrição do Produto X,168,42.86
Produto Y,Descrição do Produto Y,174,94.06
Produto Z,Descrição do Produto Z,95,40.33
Produto A,Descrição do Produto A,77,51.67
Produto B,Descrição do Produto B,39,63.74
Produto C,Descrição do Produto C,39,93.02
Produto D,Descrição do Produto D,109,20.31
Produto E,Descrição do Produto E,22,17.64
Produto F,Descrição do Produto F,53,68.66
Produto G,Descrição do Produto G,187,31.63
Produto H,Descrição do Produto H,91,75.25
Produto I,Descrição do Produto I,62,50.87
Produto J,Descrição do Produto J,108,72.61
Produto K,Descrição do Produto K,12,40.54
Produto L,Descrição do Produto L,125,27.13
Produto M,Descrição do Produto M,119,93.1
Produto N,Descrição do Produto N,199,77.03
Produto O,Descrição do Produto O,192,85.9
Produto P,Descrição do Produto P,94,21.44
Produto Q,Descrição do Produto Q,75,27.74
Produto R,Descrição do Produto R,55,37.04
Produto S,Descrição do Produto S,19,49.0
Produto T,Descrição do Produto T,193,79.07
Produto U,Descrição do Produto U,66,68.24
Produto V,Descrição do Produto V,84,54.77
Produto W,Descrição do Produto W,26,40.88
Produto X,Descrição do Produto X,153,16.52
Produto Y,Descrição do Produto Y,62,88.18
Produto Z,Descrição do Produto Z,93,34.4
Produto A,Descrição do Produto A,74,84.79
Produto B,Descrição do Produto B,126,43.5
Produto C,Descrição do Produto C,69,94.36
Produto D,Descrição do Produto D,115,8.48
Produto E,Descrição do Produto E,57,49.31
Produto F,Descrição do Produto F,139,42.34
Produto G,Descrição do Produto G,113,75.63
Produto H,Descrição do Produto H,180,22.31
Produto I,Descrição do Produto I,70,33.19
Produto J,Descrição do Produto J,42,76.42
Produto K,Descrição do Produto K,82,73.67
Produto L,Descrição do Produto L,127,64.99
Produto M,Descrição do Produto M,195,26.5
Produto N,Descrição do Produto N,46,63.81
Produto O,Descrição do Produto O,177,46.76
Produto P,Descrição do Produto P,14,93.7
Produto Q,Descrição do Produto Q,56,66.79
Produto R,Descrição do Produto R,38,47.06
Produto S,Descrição do Produto S,39,81.63
Produto T,Descrição do Produto T,191,95.91
Produto U,Descrição do Produto U,123,84.7
Produto V,Descrição do Produto V,154,81.12
Produto W,Descrição do Produto W,81,16.54
Produto X,Descrição do Produto X,99,45.46
Produto Y,Descrição do Produto Y,180,55.22
Produto Z,Descrição do Produto Z,83,62.1
Produto A,Descrição do Produto A,72,78.99
Produto B,Descrição do Produto B,127,57.34
Produto C,Descrição do Produto C,148,58.8
Produto D,Descrição do Produto D,145,51.0
Produto E,Descrição do Produto E,91,73.36
Produto F,Descrição do Produto F,189,47.55
Produto G,Descrição do Produto G,147,27.01
Produto H,Descrição do Produto H,150,50.32
Produto I,Descrição do Produto I,11,33.16
Produto J,Descrição do Produto J,57,42.26
Produto K,Descrição do Produto K,118,99.14
Produto L,Descrição do Produto L,63,64.73
Produto M,Descrição do Produto M,13,61.42
Produto N,Descrição do Produto N,195,70.91
Produto O,Descrição do Produto O,161,87.25
Produto P,Descrição do Produto P,82,97.3
Produto Q,Descrição do Produto Q,44,33.55
Produto R,Descrição do Produto R,93,29.47
Produto S,Descrição do Produto S,152,14.3
Produto T,Descrição do Produto T,186,50.83
Produto U,Descrição do Produto U,170,13.33
Produto V,Descrição do Produto V,58,89.16
Produto W,Descrição do Produto W,190,52.94
Produto X,Descrição do Produto X,74,18.05
Produto Y,Descrição do Produto Y,142,70.67
Produto Z,Descrição do Produto Z,200,92.54
Produto A,Descrição do Produto A,130,34.29
Produto B,Descrição do Produto B,147,7.5
Produto C,Descrição do Produto C,113,53.99
Produto D,Descrição do Produto D,61,66.15
Produto E,Descrição do Produto E,124,93.26
Produto F,Descrição do Produto F,74,30.05
Produto G,Descrição do Produto G,88,67.86
Produto H,Descrição do Produto H,130,91.57
Produto I,Descrição do Produto I,115,80.02
Produto J,Descrição do Produto J,118,64.06
Produto K,Descrição do Produto K,75,69.22
Produto L,Descrição do Produto L,89,60.07
Produto M,Descrição do Produto M,67,18.64
Produto N,Descrição do Produto N,26,91.3
Produto O,Descrição do Produto O,19,48.28
Produto P,Descrição do Produto P,129,88.95
Produto Q,Descrição do Produto Q,72,10.89
Produto R,Descrição do Produto R,117,81.25
Produto S,Descrição do Produto S,90,97.44
Produto T,Descrição do Produto T,155,58.77
Produto U,Descrição do Produto U,151,37.09
Produto V,Descrição do Produto V,29,73.07
Produto W,Descrição do Produto W,110,52.72
Produto X,Descrição do Produto X,179,88.04
Produto Y,Descrição do Produto Y,16,45.43
Produto Z,Descrição do Produto Z,52,8.47
Produto A,Descrição do Produto A,74,86.39
Produto B,Descrição do Produto B,18,61.58
Produto C,Descrição do Produto C,92,75.08
Produto D,Descrição do Produto D,71,10.38
Produto E,Descrição do Produto E,34,71.48
Produto F,Descrição do Produto F,193,36.61
Produto G,Descrição do Produto G,39,41.45
Produto H,Descrição do Produto H,188,71.93
Produto I,Descrição do Produto I,108,78.17
Produto J,Descrição do Produto J,18,62.62
Produto K,Descrição do Produto K,17,62.55
Produto L,Descrição do Produto L,176,14.65
Produto M,Descrição do Produto M,43,81.55
Produto N,Descrição do Produto N,106,14.24
Produto O,Descrição do Produto O,129,52.2
Produto P,Descrição do Produto P,39,28.11
Produto Q,Descrição do Produto Q,169,17.48
Produto R,Descrição do Produto R,146,75.32
Produto S,Descrição do Produto S,108,47.49
Produto T,Descrição do Produto T,80,62.07
Produto U,Descrição do Produto U,107,86.63
Produto V,Descrição do Produto V,194,69.07
Produto W,Descrição do Produto W,138,56.96
Produto X,Descrição do Produto X,164,72.17
Produto Y,Descrição do Produto Y,156,86.32
Produto Z,Descrição do Produto Z,129,91.01
Produto A,Descrição do Produto A,160,17.02
Produto B,Descrição do Produto B,48,57.02
Produto C,Descrição do Produto C,29,76.35
Produto D,Descrição do Produto D,59,81.06
Produto E,Descrição do Produto E,37,51.99
Produto F,Descrição do Produto F,68,82.77
Produto G,Descrição do Produto G,32,10.2
Produto H,Descrição do Produto H,43,44.67
Produto I,Descrição do Produto I,71,42.83
Produto J,Descrição do Produto J,119,89.9
Produto K,Descrição do Produto K,181,25.55
Produto L,Descrição do Produto L,82,63.12
Produto M,Descrição do Produto M,160,84.87
Produto N,Descrição do Produto N,100,77.57
Produto O,Descrição do Produto O,158,85.91
Produto P,Descrição do Produto P,170,82.39
Produto Q,Descrição do Produto Q,116,45.19
Produto R,Descrição do Produto R,143,35.89
Produto S,Descrição do Produto S,120,26.66
Produto T,Descrição do Produto T,60,5.78
Produto U,Descrição do Produto U,137,66.26
Produto V,Descrição do Produto V,157,37.81
Produto W,Descrição do Produto W,177,91.29
Produto X,Descrição do Produto X,50,44.75
Produto Y,Descrição do Produto Y,121,95.09
Produto Z,Descrição do Produto Z,96,17.04
Produto A,Descrição do Produto A,185,98.78
Produto B,Descrição do Produto B,152,5.92
Produto C,Descrição do Produto C,199,64.95
Produto D,Descrição do Produto D,187,63.64
Produto E,Descrição do Produto E,39,58.65
Produto F,Descrição do Produto F,120,91.14
Produto G,Descrição do Produto G,68,46.74
Produto H,Descrição do Produto H,187,7.78
Produto I,Descrição do Produto I,170,98.93
Produto J,Descrição do Produto J,161,59.68
Produto K,Descrição do Produto K,83,86.78
Produto L,Descrição do Produto L,69,91.86
Produto M,Descrição do Produto M,118,65.9
Produto N,Descrição do Produto N,25,61.77
Produto O,Descrição do Produto O,107,93.23
Produto P,Descrição do Produto P,143,7.71
Produto Q,Descrição do Produto Q,119,59.01
Produto R,Descrição do Produto R,15,13.41
Produto S,Descrição do Produto S,196,19.05
Produto T,Descrição do Produto T,168,75.39
Produto U,Descrição do Produto U,23,76.13
Produto V,Descrição do Produto V,120,64.64
Produto W,Descrição do Produto W,94,88.59
Produto X,Descrição do Produto X,192,68.42
Produto Y,Descrição do Produto Y,23,92.37
Produto Z,Descrição do Produto Z,166,89.14
Produto A,Descrição do Produto A,175,57.15
Produto B,Descrição do Produto B,152,6.0
Produto C,Descrição do Produto C,94,86.68
Produto D,Descrição do Produto D,134,59.86
Produto E,Descrição do Produto E,121,93.85
Produto F,Descrição do Produto F,138,29.58
Produto G,Descrição do Produto G,19,57.28
Produto H,Descrição do Produto H,14,71.07
Produto I,Descrição do Produto I,114,88.38
Produto J,Descrição do Produto J,166,43.84
Produto K,Descrição do Produto K,64,92.39
Produto L,Descrição do Produto L,192,66.6
Produto M,Descrição do Produto M,136,87.3
Produto N,Descrição do Produto N,83,97.02
Produto O,Descrição do Produto O,131,78.07
Produto P,Descrição do Produto P,115,90.8
Produto Q,Descrição do Produto Q,149,95.87
Produto R,Descrição do Produto R,81,41.33
Produto S,Descrição do Produto S,83,6.24
Produto T,Descrição do Produto T,191,10.24
Produto U,Descrição do Produto U,173,10.22
Produto V,Descrição do Produto V,125,90.15
Produto W,Descrição do Produto W,162,49.49
Produto X,Descrição do Produto X,91,63.92
Produto Y,Descrição do Produto Y,109,46.54
Produto Z,Descrição do Produto Z,110,78.82
Produto A,Descrição do Produto A,34,23.59
Produto B,Descrição do Produto B,20,14.69
Produto C,Descrição do Produto C,109,70.24
Produto D,Descrição do Produto D,133,63.48
Produto E,Descrição do Produto E,101,56.38
Produto F,Descrição do Produto F,80,34.73
Produto G,Descrição do Produto G,46,11.13
Produto H,Descrição do Produto H,127,60.06
Produto I,Descrição do Produto I,57,90.3
Produto J,Descrição do Produto J,37,46.61
Produto K,Descrição do Produto K,163,9.4
Produto L,Descrição do Produto L,23,23.07
Produto M,Descrição do Produto M,199,32.35
Produto N,Descrição do Produto N,110,77.27
Produto O,Descrição do Produto O,99,36.39
Produto P,Descrição do Produto P,30,76.01
Produto Q,Descrição do Produto Q,199,99.71
Produto R,Descrição do Produto R,74,22.79
Produto S,Descrição do Produto S,77,73.01
Produto T,Descrição do Produto T,169,98.58
Produto U,Descrição do Produto U,51,37.3
Produto V,Descrição do Produto V,151,89.24
Produto W,Descrição do Produto W,44,14.42
Produto X,Descrição do Produto X,139,73.69
Produto Y,Descrição do Produto Y,65,53.91
Produto Z,Descrição do Produto Z,20,18.38
Produto A,Descrição do Produto A,119,30.63
Produto B,Descrição do Produto B,162,91.82
Produto C,Descrição do Produto C,53,74.26
Produto D,Descrição do Produto D,169,44.19
Produto E,Descrição do Produto E,116,44.95
Produto F,Descrição do Produto F,178,74.77
Produto G,Descrição do Produto G,54,36.98
Produto H,Descrição do Produto H,40,48.73
Produto I,Descrição do Produto I,39,32.5
Produto J,Descrição do Produto J,113,15.03
Produto K,Descrição do Produto K,69,91.77
Produto L,Descrição do Produto L,100,51.98
Produto M,Descrição do Produto M,41,87.1
Produto N,Descrição do Produto N,178,31.1
Produto O,Descrição do Produto O,117,29.92
Produto P,Descrição do Produto P,107,50.55
Produto Q,Descrição do Produto Q,33,75.13
Produto R,Descrição do Produto R,179,89.34
Produto S,Descrição do Produto S,43,10.47
Produto T,Descrição do Produto T,128,63.62
Produto U,Descrição do Produto U,20,30.89
Produto V,Descrição do Produto V,58,85.86
Produto W,Descrição do Produto W,107,89.55
Produto X,Descrição do Produto X,39,9.58
Produto Y,Descrição do Produto Y,15,89.68
Produto Z,Descrição do Produto Z,92,42.96
Produto A,Descrição do Produto A,104,34.55
Produto B,Descrição do Produto B,95,87.9
Produto C,Descrição do Produto C,154,16.63
Produto D,Descrição do Produto D,136,57.18
Produto E,Descrição do Produto E,148,41.48
Produto F,Descrição do Produto F,41,27.53
Produto G,Descrição do Produto G,68,69.1
Produto H,Descrição do Produto H,52,77.66
Produto I,Descrição do Produto I,134,60.8
Produto J,Descrição do Produto J,171,34.0
Produto K,Descrição do Produto K,39,42.61
Produto L,Descrição do Produto L,53,71.85
Produto M,Descrição do Produto M,144,26.66
Produto N,Descrição do Produto N,13,10.72
Produto O,Descrição do Produto O,47,53.14
Produto P,Descrição do Produto P,175,90.71
Produto Q,Descrição do Produto Q,56,17.44
Produto R,Descrição do Produto R,96,60.63
Produto S,Descrição do Produto S,26,33.24
Produto T,Descrição do Produto T,80,23.86
Produto U,Descrição do Produto U,153,72.48
Produto V,Descrição do Produto V,118,97.82
Produto W,Descrição do Produto W,70,70.31
Produto X,Descrição do Produto X,74,18.76
Produto Y,Descrição do Produto Y,199,58.24
Produto Z,Descrição do Produto Z,126,99.15
Produto A,Descrição do Produto A,53,5.19
Produto B,Descrição do Produto B,121,27.93
Produto C,Descrição do Produto C,187,38.85
Produto D,Descrição do Produto D,72,82.86
Produto E,Descrição do Produto E,103,54.41
Produto F,Descrição do Produto F,197,82.29
Produto G,Descrição do Produto G,82,72.65
Produto H,Descrição do Produto H,68,56.22
Produto I,Descrição do Produto I,123,26.46
Produto J,Descrição do Produto J,175,18.87
Produto K,Descrição do Produto K,59,42.54
Produto L,Descrição do Produto L,99,20.89
Produto M,Descrição do Produto M,127,32.82
Produto N,Descrição do Produto N,93,22.47
Produto O,Descrição do Produto O,158,85.98
Produto P,Descrição do Produto P,61,9.01
Produto Q,Descrição do Produto Q,64,65.81
Produto R,Descrição do Produto R,46,75.32
Produto S,Descrição do Produto S,45,31.65
Produto T,Descrição do Produto T,62,52.83
Produto U,Descrição do Produto U,73,82.89
Produto V,Descrição do Produto V,68,58.14
Produto W,Descrição do Produto W,168,31.07
Produto X,Descrição do Produto X,37,93.35
Produto Y,Descrição do Produto Y,120,78.9
Produto Z,Descrição do Produto Z,99,5.77
Produto A,Descrição do Produto A,157,81.05
Produto B,Descrição do Produto B,46,80.38
Produto C,Descrição do Produto C,137,97.35
Produto D,Descrição do Produto D,83,26.22
Produto E,Descrição do Produto E,16,22.73
Produto F,Descrição do Produto F,162,63.34
Produto G,Descrição do Produto G,183,71.51
Produto H,Descrição do Produto H,34,34.66
Produto I,Descrição do Produto I,190,57.39
Produto J,Descrição do Produto J,35,66.1
Produto K,Descrição do Produto K,144,53.48
Produto L,Descrição do Produto L,28,21.8
Produto M,Descrição do Produto M,60,40.62
Produto N,Descrição do Produto N,56,46.72
Produto O,Descrição do Produto O,38,44.29
Produto P,Descrição do Produto P,162,47.28
Produto Q,Descrição do Produto Q,134,25.6
Produto R,Descrição do Produto R,117,29.51
Produto S,Descrição do Produto S,111,92.42
Produto T,Descrição do Produto T,114,48.46
Produto U,Descrição do Produto U,165,71.52
Produto V,Descrição do Produto V,113,74.91
Produto W,Descrição do Produto W,97,54.56
Produto X,Descrição do Produto X,199,83.34
Produto Y,Descrição do Produto Y,189,76.81
Produto Z,Descrição do Produto Z,13,28.03
Produto A,Descrição do Produto A,54,61.26
Produto B,Descrição do Produto B,130,19.27
Produto C,Descrição do Produto C,144,59.62
Produto D,Descrição do Produto D,161,20.59
Produto E,Descrição do Produto E,191,7.86
Produto F,Descrição do Produto F,90,22.14
Produto G,Descrição do Produto G,161,38.3
Produto H,Descrição do Produto H,47,11.64
Produto I,Descrição do Produto I,56,27.61
Produto J,Descrição do Produto J,49,58.7
Produto K,Descrição do Produto K,53,80.25
Produto L,Descrição do Produto L,26,98.03
Produto M,Descrição do Produto M,186,64.38
Produto N,Descrição do Produto N,115,85.2
Produto O,Descrição do Produto O,63,46.41
Produto P,Descrição do Produto P,119,26.12
Produto Q,Descrição do Produto Q,32,50.75
Produto R,Descrição do Produto R,177,53.33
Produto S,Descrição do Produto S,114,12.96
Produto T,Descrição do Produto T,17,7.64
Produto U,Descrição do Produto U,35,17.24
Produto V,Descrição do Produto V,14,96.98
Produto W,Descrição do Produto W,70,13.21
Produto X,Descrição do Produto X,180,96.96
Produto Y,Descrição do Produto Y,60,9.19
Produto Z,Descrição do Produto Z,27,53.02
Produto A,Descrição do Produto A,176,96.24
Produto B,Descrição do Produto B,175,14.12
Produto C,Descrição do Produto C,128,26.76
Produto D,Descrição do Produto D,180,21.05
Produto E,Descrição do Produto E,157,56.69
Produto F,Descrição do Produto F,128,85.45
Produto G,Descrição do Produto G,128,97.61
Produto H,Descrição do Produto H,155,98.23
Produto I,Descrição do Produto I,191,13.75
Produto J,Descrição do Produto J,102,9.37
Produto K,Descrição do Produto K,127,64.81
Produto L,Descrição do Produto L,172,97.66
Produto M,Descrição do Produto M,126,12.66
Produto N,Descrição do Produto N,149,74.7
Produto O,Descrição do Produto O,71,43.15
Produto P,Descrição do Produto P,54,6.99
Produto Q,Descrição do Produto Q,20,75.64
Produto R,Descrição do Produto R,175,58.53
Produto S,Descrição do Produto S,173,18.86
Produto T,Descrição do Produto T,56,17.51
Produto U,Descrição do Produto U,182,10.31
Produto V,Descrição do Produto V,128,73.5
Produto W,Descrição do Produto W,152,12.28
Produto X,Descrição do Produto X,169,81.41
Produto Y,Descrição do Produto Y,14,98.76
Produto Z,Descrição do Produto Z,10,26.22
Produto A,Descrição do Produto A,104,35.47
Produto B,Descrição do Produto B,144,53.0
Produto C,Descrição do Produto C,28,36.48
Produto D,Descrição do Produto D,65,52.49
Produto E,Descrição do Produto E,72,81.75
Produto F,Descrição do Produto F,27,35.7
Produto G,Descrição do Produto G,13,24.55
Produto H,Descrição do Produto H,168,17.65
Produto I,Descrição do Produto I,110,12.01
Produto J,Descrição do Produto J,108,63.5
Produto K,Descrição do Produto K,189,20.47
Produto L,Descrição do Produto L,53,74.48
Produto M,Descrição do Produto M,13,24.33
Produto N,Descrição do Produto N,53,20.99
Produto O,Descrição do Produto O,63,64.8
Produto P,Descrição do Produto P,185,27.46
Produto Q,Descrição do Produto Q,136,90.19
Produto R,Descrição do Produto R,23,89.68
Produto S,Descrição do Produto S,200,90.02
Produto T,Descrição do Produto T,73,79.78
Produto U,Descrição do Produto U,72,64.94
Produto V,Descrição do Produto V,186,92.99
Produto W,Descrição do Produto W,86,30.44
Produto X,Descrição do Produto X,102,39.28
Produto Y,Descrição do Produto Y,63,52.95
Produto Z,Descrição do Produto Z,199,51.32
Produto A,Descrição do Produto A,171,11.69
Produto B,Descrição do Produto B,184,23.24
Produto C,Descrição do Produto C,51,41.68
Produto D,Descrição do Produto D,172,66.53
Produto E,Descrição do Produto E,60,73.34
Produto F,Descrição do Produto F,155,85.31
Produto G,Descrição do Produto G,116,17.96
Produto H,Descrição do Produto H,199,76.82
Produto I,Descrição do Produto I,46,21.86
Produto J,Descrição do Produto J,21,18.53
Produto K,Descrição do Produto K,96,20.58
Produto L,Descrição do Produto L,152,43.73
Produto M,Descrição do Produto M,70,14.76
Produto N,Descrição do Produto N,186,84.53
Produto O,Descrição do Produto O,116,48.97
Produto P,Descrição do Produto P,90,32.58
Produto Q,Descrição do Produto Q,12,58.62
Produto R,Descrição do Produto R,51,96.84
Produto S,Descrição do Produto S,115,12.67
Produto T,Descrição do Produto T,11,84.68
Produto U,Descrição do Produto U,27,88.35
Produto V,Descrição do Produto V,152,95.78
Produto W,Descrição do Produto W,86,86.05
Produto X,Descrição do Produto X,74,76.83
Produto Y,Descrição do Produto Y,152,32.88
Produto Z,Descrição do Produto Z,107,17.04
Produto A,Descrição do Produto A,170,33.54
Produto B,Descrição do Produto B,145,53.89
Produto C,Descrição do Produto C,38,49.73
Produto D,Descrição do Produto D,55,6.01
Produto E,Descrição do Produto E,162,11.98
Produto F,Descrição do Produto F,74,25.93
Produto G,Descrição do Produto G,82,92.27
Produto H,Descrição do Produto H,194,60.32
Produto I,Descrição do Produto I,151,57.61
Produto J,Descrição do Produto J,136,72.85
Produto K,Descrição do Produto K,50,75.05
Produto L,Descrição do Produto L,67,18.96
Produto M,Descrição do Produto M,96,14.62
Produto N,Descrição do Produto N,195,32.88
Produto O,Descrição do Produto O,196,54.59
Produto P,Descrição do Produto P,193,41.33
Produto Q,Descrição do Produto Q,112,94.25
Produto R,Descrição do Produto R,141,19.19
Produto S,Descrição do Produto S,23,77.06
Produto T,Descrição do Produto T,159,37.28
Produto U,Descrição do Produto U,96,13.58
Produto V,Descrição do Produto V,52,28.59
Produto W,Descrição do Produto W,134,22.97
Produto X,Descrição do Produto X,197,94.56
Produto Y,Descrição do Produto Y,25,46.49
Produto Z,Descrição do Produto Z,50,14.72
Produto A,Descrição do Produto A,147,96.74
Produto B,Descrição do Produto B,39,72.63
Produto C,Descrição do Produto C,27,78.43
Produto D,Descrição do Produto D,24,81.51
Produto E,Descrição do Produto E,151,20.89
Produto F,Descrição do Produto F,144,51.76
Produto G,Descrição do Produto G,65,81.33
Produto H,Descrição do Produto H,152,41.14
Produto I,Descrição do Produto I,107,36.09
Produto J,Descrição do Produto J,101,42.45
Produto K,Descrição do Produto K,124,90.82
Produto L,Descrição do Produto L,69,82.69
Produto M,Descrição do Produto M,196,51.23
Produto N,Descrição do Produto N,180,69.16
Produto O,Descrição do Produto O,38,16.6
Produto P,Descrição do Produto P,116,81.57
Produto Q,Descrição do Produto Q,132,95.58
Produto R,Descrição do Produto R,200,76.03
Produto S,Descrição do Produto S,92,92.62
Produto T,Descrição do Produto T,186,91.81
Produto U,Descrição do Produto U,52,30.22
Produto V,Descrição do Produto V,163,57.01
Produto W,Descrição do Produto W,139,94.83
Produto X,Descrição do Produto X,121,53.82
Produto Y,Descrição do Produto Y,157,98.34
Produto Z,Descrição do Produto Z,200,84.04
Produto A,Descrição do Produto A,200,73.43
Produto B,Descrição do Produto B,163,49.05
Produto C,Descrição do Produto C,161,82.44
Produto D,Descrição do Produto D,149,36.41
Produto E,Descrição do Produto E,10,17.4
Produto F,Descrição do Produto F,96,48.76
Produto G,Descrição do Produto G,170,44.06
Produto H,Descrição do Produto H,146,34.91
Produto I,Descrição do Produto I,58,10.05
Produto J,Descrição do Produto J,152,27.07
Produto K,Descrição do Produto K,172,54.07
Produto L,Descrição do Produto L,34,71.25
Produto M,Descrição do Produto M,81,92.17
Produto N,Descrição do Produto N,90,19.32
Produto O,Descrição do Produto O,150,10.52
Produto P,Descrição do Produto P,48,70.77
Produto Q,Descrição do Produto Q,90,37.67
Produto R,Descrição do Produto R,66,35.82
Produto S,Descrição do Produto S,57,64.55
Produto T,Descrição do Produto T,105,16.57
Produto U,Descrição do Produto U,151,37.56
Produto V,Descrição do Produto V,97,6.06
Produto W,Descrição do Produto W,37,18.86
Produto X,Descrição do Produto X,116,30.15
Produto Y,Descrição do Produto Y,190,27.0
Produto Z,Descrição do Produto Z,58,31.9
Produto A,Descrição do Produto A,23,74.88
Produto B,Descrição do Produto B,190,97.43
Produto C,Descrição do Produto C,181,75.69
Produto D,Descrição do Produto D,156,99.89
Produto E,Descrição do Produto E,76,85.99
Produto F,Descrição do Produto F,182,99.18
Produto G,Descrição do Produto G,137,92.28
Produto H,Descrição do Produto H,87,28.93
Produto I,Descrição do Produto I,66,70.61
Produto J,Descrição do Produto J,55,61.38
